Date	Sleep	Wake	Comments
03/03/2011	01:40	NaN	//
03/03/2011	NaN	06:03	//
03/03/2011	06:05	NaN	//
03/03/2011	NaN	12:30	//
04/03/2011	02:30	NaN	//
04/03/2011	NaN	08:00	//
04/03/2011	08:30	NaN	//
04/03/2011	NaN	11:30	//
04/03/2011	19:30	NaN	//
04/03/2011	NaN	22:15	//
05/03/2011	02:30	NaN	//
05/03/2011	NaN	09:00	//
05/03/2011	09:45	NaN	//
05/03/2011	NaN	11:00	//
05/03/2011	13:45	NaN	//
05/03/2011	NaN	14:50	//
06/03/2011	00:00	NaN	//
06/03/2011	NaN	09:35	//
06/03/2011	15:35	NaN	//
06/03/2011	NaN	16:15	//
06/03/2011	22:40	NaN	//
07/03/2011	NaN	11:00	//
07/03/2011	23:10	NaN	//
08/03/2011	NaN	10:00	//
08/03/2011	23:59	NaN	//
09/03/2011	NaN	09:00	//
09/03/2011	23:55	NaN	//
10/03/2011	NaN	09:00	//
10/03/2011	10:00	NaN	//
10/03/2011	NaN	11:45	//
11/03/2011	01:20	NaN	//
11/03/2011	NaN	09:50	//
12/03/2011	02:00	NaN	//
12/03/2011	NaN	09:20	//
12/03/2011	11:00	NaN	//
12/03/2011	NaN	12:20	//
13/03/2011	04:30	NaN	//
13/03/2011	NaN	08:40	//
13/03/2011	08:50	NaN	//
13/03/2011	NaN	13:30	//
14/03/2011	01:30	NaN	//
14/03/2011	NaN	09:15	//
14/03/2011	10:00	NaN	//
14/03/2011	NaN	12:00	//
15/03/2011	02:30	NaN	//
15/03/2011	NaN	11:00	//
16/03/2011	02:45	NaN	//
16/03/2011	NaN	09:00	//
16/03/2011	09:45	NaN	//
16/03/2011	NaN	14:00	//
17/03/2011	02:20	NaN	//
17/03/2011	NaN	08:20	//
17/03/2011	09:15	NaN	//
17/03/2011	NaN	11:55	//
18/03/2011	02:00	NaN	//
18/03/2011	NaN	11:15	//
19/03/2011	02:45	NaN	//
19/03/2011	NaN	09:10	//
19/03/2011	10:10	NaN	//
19/03/2011	NaN	13:50	//
19/03/2011	20:50	NaN	//
19/03/2011	NaN	22:35	//
20/03/2011	04:30	NaN	//
20/03/2011	NaN	13:50	//
21/03/2011	01:00	NaN	//
21/03/2011	NaN	11:30	//
22/03/2011	03:00	NaN	//
22/03/2011	NaN	11:45	//
23/03/2011	03:00	NaN	//
23/03/2011	NaN	11:15	//
24/03/2011	02:30	NaN	//
24/03/2011	NaN	10:20	//
25/03/2011	02:00	NaN	//
25/03/2011	NaN	11:45	//
26/03/2011	04:00	Nan	//
26/03/2011	NaN	12:15	//
26/03/2011	22:20	NaN	//
27/03/2011	NaN	01:50	//
27/03/2011	03:00	NaN	//
27/03/2011	NaN	11:15	//
27/03/2011	19:00	NaN	//
27/03/2011	NaN	20:45	//
28/03/2011	01:00	NaN	//
28/03/2011	NaN	06:15	//
28/03/2011	20:15	NaN	//
28/03/2011	NaN	00:40	//
29/03/2011	03:00	NaN	//
29/03/2011	NaN	07:00	//
29/03/2011	13:00	NaN	//
29/03/2011	NaN	17:30	//
30/03/2011	01:30	NaN	//
30/03/2011	NaN	12:30	//
31/03/2011	01:30	NaN	//
31/03/2011	NaN	04:55	//
